Title,Author,First Published,Publisher,ISBN,Language,Pages,Subjects,Avg Rating,Rating Count,Want to Read,Reading Now,Already Read
Omnibus of science fiction,"Conklin, Groff",1952,"Crown Publishers, Random House Value Publishing",9780517453704,eng,561,"Science fiction, Science-fiction, Anthologies",4.0,1,5,0,3
Virtual light,William Gibson,1743,"Penguin Books, Bantam Dell Pub Group (Trd)",9788445074077,"eng, fre, ger, spa, rus, nor, swe",320,"Fiction, Science fiction, Twenty-first century",3.7586207,29,39,2,44
"Literature--reading fiction, poetry, drama, and the essay","Robert DiYanni, Margaret Atwood, Jorge Luis Borges, Emily Brontë, Lewis Carroll, Антон Павлович Чехов, Kate Chopin",1986,"Random House, McGraw-Hill",9780070170384,eng,1591,"Literature, Collections, Literature, collections",5.0,2,28,4,1
The art of fiction,David Lodge,1992,"Viking, Penguin (Non-Classics)",9780140174922,"eng, chi",240,"History and criticism, Theory, Criticism",,,18,0,1
Eon,Greg Bear,1985,"Meulenhoff, Audible Studios on Brilliance Audio",073940346X,"dut, ger, ita, fre, eng",512,"Fiction, Science fiction, Asteroids",4.2352943,17,58,3,30
Dragondrums,Anne McCaffrey,1979,"Spectra, Del Rey",9780808521631,"fre, eng",240,"Fiction, fantasy, general, Pern (imaginary place), fiction, Harper's hall (imaginary place), fiction",3.8666666,15,77,3,45
Riding the Flume,Patricia Curtis Pfitsch,2004,"Aladdin, Tandem Library",9781417602759,eng,232,"Reading Level-Grade 5, Reading Level-Grade 4, Reading Level-Grade 7",3.0,4,35,1,3
Flash fiction,"Thomas, James, Tom Hazuka, James Thomas - undifferentiated, Denise Thomas, Margaret Atwood",1992,W. W. Norton & Company,9780393308839,eng,224,"American Short stories, Short stories, american",,,14,0,1
The 13 crimes of science fiction,"Isaac Asimov, Martin H. Greenberg, Charles G. Waugh, Tom Reamy, Randall Garrett, Charles V. de Vet, Katherine MacLean, Avram Davidson, Jack Vance, William Temple, Philip K. Dick, Larry Niven, Edward Wellen, Wilson Tucker, William Tenn, Clifford D. Simak",1979,"Doubleday & Company, Inc., Doubleday",0385152205,eng,456,"American Science fiction, American Detective and mystery stories",,,14,1,2
grl2grl,Julie Anne Peters,2007,"Little, Brown Young Readers, Little, Brown Books for Young Readers",0316086746,eng,160,"Fiction, Juvenile Fiction, American Short stories",,,24,0,0
Plotting and writing suspense fiction,Patricia Highsmith,1966,"The Writer, inc., Little, Brown Book Group Limited",9780312048679,"eng, ger",147,"English Detective and mystery stories, Technique, Fiction",3.0,1,13,0,2
Rejection,Tony Tulathimutte,2024,"Audible, William Morrow",0063337908,eng,272,,,,6,0,3
Imperium,"Harris, Robert",2006,"Arrow, Hutchinson",9780743498661,eng,384,"roman republic, english fiction, Fiction",3.4444444,9,40,0,14
Walking the clouds,Grace L. Dillon,2012,University of Arizona Press,0816529825,eng,,"American Science fiction, American fiction, Indians of North America",4.0,1,76,2,2
While mortals sleep,Kurt Vonnegut,2011,Delacorte Press,9780440339878,eng,253,"Short stories, American fiction, American literature",3.75,4,13,0,8
"The Best Science Fiction and Fantasy of the Year, Volume Three","Jonathan Strahan, Ted Chiang, Elizabeth Bear, Peter S. Beagle, Jeff VanderMeer, Paolo Bacigalupi, Ian McDonald, Holly Black, John Kessel, Paul McAuley, Garth Nix, Holly Phillips, Stephen Baxter, Stephen King, Robert Reed, Joan Aiken, Margo Lanagan, Ted Kosmatka, Kij Johnson, Rachel Swirsky, Greg Egan, Hannu Rajaniemi, Maureen F. McHugh, M. Rickert, M. Rickert, Richard Bowes, Ken Scholes, Kelly Link",2009,Night Shade Books,1597801496,eng,496,"fiction, Fantasy fiction, Science fiction",,,32,3,2
City,Clifford D. Simak,1952,"Science Fiction Book Club, Gnome Press",0413146308,"fre, cat, eng",256,"Science fiction, genetic engineering, robots",4.571429,7,58,3,17
Tunnel in the sky,Robert A. Heinlein,1955,"Ballantine Books (Mm), Pocket Books",1501236466,"heb, eng, und",272,"society, Survival, political",4.181818,11,91,8,30
Echoes,Graham Foster,2001,Oxford University Press,9780195416305,eng,544,"Readers, English language, rhetoric, Readers (Secondary)",5.0,1,12,1,1
Fifty short science fiction tales,"Isaac Asimov, Conklin, Groff, Poul Anderson, Alan Bloch, Anthony Boucher, Fredric Brown, Charles Muñoz, Cleve Cartmill, Peter Grainger, James Causey, Arthur C. Clarke, Mildred Clingerman, Roger D. Aycock, Arthur Feldman, Jack Finney, Stuart Friedman, Lawrence L. LeShan, Donald A. Wollheim, Marion Gross, Robert A. Heinlein, Albert Hernhuter, H. B. Hickey, Wayland Hilton Young, Damon Knight, Cyril M. Kornbluth, Fritz Leiber, Jack Lewis, John D. MacDonald, Avro Manhattan, Winston K. Marks, John P. McKnight, Lion Miller, Alan Nelson, Alan Edward Nourse, Peter Phillips, Arthur Porges, Mack Reynolds, Frank M. Robinson, Edward G. Robles Jr., Eric Frank Russell, James H. Schmitz, Howard Schoenfeld, Margaret St. Clair, Robert Sheckley, Walt Sheldon, Evelyn E. Smith, Will Stanton, Theodore Sturgeon, William Tenn, A. E. van Vogt, Ralph Williams, S. Fowler Wright, Karen Anderson",1963,"Collier Macmillan Publishers, Collier Macmillan",0684842963,eng,287,"Science fiction, Fiction, science fiction, general, Fiction, short stories (single author)",5.0,1,14,2,2
Circe,Madeline Miller,2018,"Dwarsligger, Eisele",9780316556323,"dut, pol, eng, tur, por",404,"Fantasy, Mythology, Historical Fiction",4.147059,102,896,28,149
Masterpieces,Orson Scott Card,2001,"Ace Books, Penguin Publishing Group",7513307105,"pol, chi, eng",432,"American Science fiction, English Science fiction, Fiction, science fiction, general",4.0,1,23,2,2
Machines That Think,"Isaac Asimov, Patricia S. Warrick, Martin H. Greenberg, Ambrose Bierce, John Wyndham, Harl Vincent, Harry Bates, Robert Moore Williams, Lester del Rey, A. E. van Vogt, Harlan Ellison, Murray Leinster, Poul Anderson, Walter M. Miller Jr., Jesse F. Bone, Harry Harrison, Michael Shaara, Philip K. Dick, Gordon R. Dickson, Arthur C. Clarke, Robert Silverberg, John Brunner, Frederic Brown, Vernor Vinge, Gene Wolfe, George Zebrowski",1984,"Henry Holt & Co, Wings Books",0140071946,eng,627,"Science fiction, American, American Science fiction, Computers",,,40,3,2
The mammoth encyclopedia of science fiction,George Mann,2001,"Carroll & Graf Publishers, Little, Brown Book Group Limited",9781841191775,eng,612,"literature, Catalogs, Encyclopedias",,,10,0,2
Eye,Frank Herbert,1985,"Orion Publishing Group, Limited, Gollancz",9783453009592,"ger, eng",336,"Science fiction, Fiction, general, Fiction, science fiction, general",4.0,2,15,0,2
"Jane Austen, feminism and fiction",Margaret Kirkham,1983,"Athlone Press, Harvester",038920336,eng,187,"Feminism and literature, Political and social view, English Feminist fiction",,,10,0,1
Science Fictions,Stuart Ritchie,2020,"Random House Children's Books, Holt & Company, Henry",1473564255,eng,361,"Science, Fraud in science, Scientific Errors",4.0,1,17,0,2
Self-editing for fiction writers,Renni Browne,1993,"HarperPerennial, HarperCollins Publishers",0062720465,eng,226,"Technique, Editing, Fiction",3.0,2,17,0,3
Galaxy,"Frederik Pohl, Martin H. Greenberg, Joseph D. Olander, Fritz Leiber, Damon Knight, William Tenn, Robert Sheckley, William Morrison, Jerome Bixby, Margaret St. Clair, Alan Arkin, Zenna Henderson, Cordwainer Smith, Judith Merril, Algis Budrys, Jim Harmon, Allan Danzig, Philip K. Dick, Isaac Asimov, Robert Silverberg, Larry Niven, James Tiptree, Jr., Theodore Sturgeon, R. A. Lafferty, Harlan Ellison, Ursula K. Le Guin, Cyril M. Kornbluth, John Varley, Alfred Bester, H. L. Gold, Genevieve Collins Linebarger",1980,"Playboy Paperbacks, Brand: Playboy Press",0872169170,eng,465,"American Science fiction, Galaxy magazine, Indexes",,,24,1,3
Deus Irae,"Philip K. Dick, Roger Zelazny",1976,"Mariner Books, Maxwell Macmillan Canada",0722129831,"eng, fre",192,"Fiction in English, Fiction, science fiction, general, World war iii, fiction",1.75,4,14,0,9
Fiction,Fiction,2007,BookSurge Publishing,1419661965,eng,138,"Fiction, historical, general",1.0,1,3,2,1
"Tomorrow, the Stars","Robert A. Heinlein, Isaac Asimov",1952,"Berkley Highland Books -, Brand: Berkley",9780425026045,eng,224,"Science fiction, Long Now Manual for Civilization, American Science fiction",4.0,1,15,0,4
Fiction,"R. S. Gwynn, Nathaniel Hawthorne, Edgar Allan Poe, Kate Chopin, Антон Павлович Чехов, Edith Wharton, Willa Cather, James Joyce, William Faulkner, John Steinbeck, Richard Wright, Shirley Jackson, Gabriel García Márquez, Chinua Achebe, Alice Munro, Margaret Atwood, Alice Walker, Guy de Maupassant, Ernest Hemingway, Eudora Welty, Ralph Ellison, Doris Lessing, Flannery O'Connor, John Updike, Raymond Carver, Joyce Carol Oates, Bobbie Ann Mason, Denise Chávez, Louise Erdrich",1993,"Pearson Education, Limited, Watson-Guptill Publications",9780321011480,eng,354,"Short stories, Technique, English Short stories",,,9,0,0
Writing fiction,R. V. Cassill,1962,"Independently Published, Pocket Books",067176585X,eng,239,"Authorship, Creative writing, Fiction",,,7,1,0
Criticism and fiction,William Dean Howells,1891,"Independently Published, Project Gutenberg",9781408680032,eng,77,"History and criticism, Criticism, Fiction",,,2,0,0
The Sentinel,Arthur C. Clarke,1983,"ibooks, Inc., HarperCollins Publishers Ltd",0586212043,"eng, spa",303,"English Fantasy fiction, English Science fiction, Fiction",4.5,6,37,2,10
"The Gray Prince, A Science Fiction Novel",Jack Vance,1974,"ibooks, Inc., Ibooks, Inc.",0672519941,eng,192,"Fantasy, Fiction, Science Fiction & Fantasy",,,16,0,0
Talking about detective fiction,P. D. James,2009,"B (Ediciones B), Vintage Canada",8490705194,"spa, eng",192,"English Detective and mystery stories, History and criticism, Crime",3.5,2,7,1,2
The Mammoth Book of Golden Age Science Fiction,"Isaac Asimov, Charles G. Waugh, Martin H. Greenberg, Ross Rocklynne, A. E. van Vogt, Lester del Rey, Frederic Brown, Theodore Sturgeon, C. L. Moore, A. Bertram Chandler, T.L. Sherred, Jack Williamson",1989,"Constable Robinson, The Book Company",9781863091725,eng,512,"American Science fiction, American fiction, Science fiction",5.0,1,20,1,3
Inconstant moon,Larry Niven,1900,"Gollancz, Sphere",9780722163818,eng,204,"American Science fiction, English Short stories, Fiction, science fiction, general",4.0,1,12,0,11
Dragonsinger,Anne McCaffrey,1977,"Tandem Library, Transworld Publishers Limited",9780787100803,"eng, fre",271,"Pern, Harper Hall, Dragons",4.3636365,22,114,2,53
The Wesleyan anthology of science fiction,Arthur B. Evans,2010,Wesleyan University Press,9780819569554,eng,,"American Science fiction, English Science fiction, Science fiction, american",5.0,1,29,1,1
The Science Fictional Solar System,"Isaac Asimov, Martin H. Greenberg, Charles G. Waugh, Theodore L. Thomas, Alan Edward Nourse, Robert Sheckley, Terry Carr, Poul Anderson, James Blish, Arthur C. Clarke, Fritz Leiber, Alexei Panshin, Larry Niven, Robert F. Young, Duncan Lunan",1979,"Granada, Sidgwick and Jackson",9780283986666,eng,317,"American Science fiction, Fiction, English Science fiction",,,7,0,2
The supernatural in romantic fiction,Edward Yardley,1880,"Independently Published, Folcroft Library Editions",9780526828135,eng,141,"Folklore, Folklore in literature, Literature and folklore",5.0,1,4,0,1
The Year's Best Science Fiction - Sixteenth Annual Collection,Gardner R. Dozois,1999,"St. Martin's Griffin, Bluejay Books",9780312204457,eng,609,"American Science fiction, Science fiction, Short stories",,,16,0,1
Microcosmic Tales,"Isaac Asimov, Martin H. Greenberg, Joseph D. Olander, Donald Franson, Norman E. Hartman, Jack Ritchie, Charles E. Fritch, Phyllis Eisenstein, Fredric Brown, Robert Mattingly, Barry N. Malzberg, Jack Dann, George Zebrowski, Charles Sheffield, George H. Smith, Robert F. Decker, Harry Harrison, Richard Wilson, T. E. D. Klein, Richard K. Lyon, Arthur C. Clarke, Patricia Matthews, Alan Brennert, James Tiptree, Jr., Anthony Boucher, Bob Shaw, Walt Liebscher, Mack Reynolds, A. E. van Vogt, Paul Dellinger, Harlan Ellison, Henry Slesar, Ron Montana, Joanna Russ, Theodore Cogswell, Marcia Martin, Eric Vinicoff, Edward Bryant, Garen Drussaï, William F. Nolan, Helen M. Urban, Robert Silverberg, Alice Laurance, Robert Sheckley, Charles A. Spano Jr., Craig Strete, Rick Conley, Manly Wade Wellman, Dennis R. Caro, Eric Frank Russell, Robert Payes, Fritz Leiber, Ray Russell, Roberta Ghidalia, Sherwood Springer, Joseph F. Patrouch, Roland J. Green, H. L. Gold, Jan Howard Finder, Ruth Berman, James E. Gunn, Philip José Farmer, Bill Pronzini, Arthur Tofte, F. M. Busby, Paul J. Nahin, James A. Stevens, Rachel Cosgrove Payes, Juleen Brantingham, Maggie Nadler, Lester del Rey, Larry Niven, Edward Wellen",1980,"Taplinger Pub Co, DAW Books",9780800852382,eng,328,"American Science fiction, English Science fiction, Science fiction",,,22,2,2
Postmodern American fiction,"Paula Geyh, Andrew Levy",1997,"W.W. Norton, W. W. Norton & Company",9780393316988,eng,672,"Postmodernism (Literature), American fiction, Amerikaans",4.0,1,14,0,1
A Legal Fiction,Elizabeth Ferrars,1963,"Coronet, Isis Audio Books",9781471907135,eng,192,"Fiction in English, Fiction, mystery & detective, general, Fiction, suspense",,,0,1,2
Literature,Dana Gioia,1994,"Longman, Addison-Wesley",9780673522801,eng,1664,"Literature, Collections, English literature: literary criticism",5.0,2,10,0,2
Dies the fire,S. M. Stirling,2005,Roc,9780451460417,eng,573,"Regression (Civilization), Community life, Farm life",3.2,5,17,1,8
The Art of Fiction,John Gardner,1984,"Vintage Books, Vintage",9780394725444,eng,224,"Technique, Fiction, es index",,,15,1,0
13 great stories of science fiction,"Conklin, Groff",1960,"Gold Medal Books, Fawcett Publications",9780449142288,eng,192,Science fiction,,,8,0,0
Dying Inside,Robert Silverberg,1972,"Ibooks, Sidgwick and Jackson",3453215273,"eng, ger",256,"Fiction, general, Fiction in English, Fiction",2.875,8,25,1,10
The Scribner Anthology of Contemporary Short Fiction,"Michael Martone, Lex Williford, Margaret Atwood, Williford",1999,"Touchstone, Simon & Schuster",9781416545699,eng,672,"Social life and customs, Canadian fiction, Canadian Short stories",,,19,1,0
Less,Andrew Sean Greer,2017,"FISCHER Taschenbuch, Edicions de 1984",0316316148,"eng, pol, ger, fre",280,"Voyages and travels, Authors, Gay men",3.75,8,95,3,16
Vanishing Acts,Ellen Datlow,2000,"Tor Books, TOR",0312869614,eng,380,"American Science fiction, Science fiction",3.8,5,4,0,6
The Martian Way and Other Stories,Isaac Asimov,1955,"Doubleday & Company, Dobson",2290332836,"und, eng, ger, fre",193,"American Science fiction, Extraterrestrial beings, Fiction",4.5,2,19,0,7
Baker's dozen -- 13 short science fiction novels,"Charles G. Waugh, John W. Campbell, Lester del Rey, Gordon R. Dickson, David Drake, Phyllis Eisenstein, Philip José Farmer, John Jakes, Donald Kingsbury, Barry B. Longyear, Larry Niven, Frederik Pohl, Robert Silverberg",1985,"Constable and Robinson, Robinson Publishing",9780517476468,eng,574,American literature,,,10,2,1
Schismatrix Plus,Bruce Sterling,1996,"Open Road Integrated Media, Inc., Ace Books",9781713562818,eng,331,"Fiction, science fiction, general, Fiction, short stories (single author), American Science fiction",4.0,4,23,1,6
Gospel fictions,Randel Helms,1988,Prometheus Books,0879754648,eng,154,"Bible, Bible N.T. Gospels, Criticism, interpretation",4.5,2,5,1,2
Whipping Star,Frank Herbert,1970,"Berkley Medallion, Putnam Pub Group",9780450044595,"eng, fre",188,"Fiction in English, American Science fiction, Fiction, science fiction, general",3.25,4,28,1,8
Irish Hearts (Irish Rose / Irish Thoroughbred),Nora Roberts,2000,"Silhouette Books, Mills & Boon",9780373281916,eng,506,"Horse trainers, Open Library Staff Picks, Fiction",3.75,4,38,1,13
Fiction Writer's Handbook,Whit Burnett,1979,"HarperCollins Publishers, Collins",0062731696,eng,200,"Fiction, authorship",,,11,1,0
The Norton anthology of short fiction--Sixth Shorter Edition,"R. V. Cassill, Richard Bausch, Margaret Atwood, Ambrose Bierce, Антон Павлович Чехов, Richard Bausch",2000,"Norton, Norton & Company Limited, W. W.",0393937755,eng,1030,"Short stories, Fiction, History",,,13,1,0
Short Fiction,Ernest Hemingway,2022,Standard Ebooks,,eng,,"Short stories, American, American fiction--20th century",5.0,1,13,0,1
Tales from Margaritaville,Jimmy Buffett,1989,"Fawcett, Fawcett Crest",9780449222485,,240,American Short stories,1.0,1,13,0,1
Dukes are Forever,Anna Harrington (Romance fiction writer),2015,,9781455534036,eng,371,"Fiction, Romance, Historical",2.5,2,15,0,4
The Art of Fiction,Ayn Rand,2000,"Blackstone Audiobooks, Inc., Blackstone Audiobooks",1101136677,eng,200,"Literary Criticism, Nonfiction, Fiction, authorship",,,6,0,2
Blind Promises,Diana Palmer,1984,"Steeple Hill, Harlequin Mills & Boon, Limited",0373472609,eng,224,"Large type books, Fiction, religious, Fiction, romance, contemporary",,,22,1,2
Amazing stories,"Isaac Asimov, Martin H. Greenberg, David Henry Keller, Miles John Breuer, Nelson Bond, Eando Binder, Robert Bloch, Robert Sheckley, Walter M. Miller Jr., Edmond Hamilton, Mark Clifton, Cordwainer Smith, Philip K. Dick, Ursula K. Le Guin, Robert Goulart, John Jakes, Philip José Farmer, James Tiptree, Jr., John Varley, Pat Murphy",1985,"Distributed to the book trade in the U.S. by Random House, TSR, Inc.",0880382163,eng,255,American Science fiction,,,19,0,1
Fanny,Edmund White,2003,"Harper Perennial, CHATTO & WINDUS",009928572X,"eng, und",349,"Fiction, historical, Fiction, Fiction, historical, general",,,3,1,0
Before the Golden Age,"Isaac Asimov, Edmond Hamilton, Neil R. Jones, S. P. Meek, P. Schuyler Miller, Clifford D. Simak, Charles R. Tanner, Jack Williamson, Laurence Manning, Donald Wandrei, Murray Leinster, Raymond Z. Gallun, Stanley G. Weinbaum, Henry Hasse, Leslie Frances Stone, John W. Campbell, John D. Clarke, Nathan Schachner, Ross Rocklynne",1974,"Futura, Doubleday & Company, Inc.",9780449225257,eng,912,American Science fiction,3.0,1,14,0,2
Second Foundation,Isaac Asimov,1953,"Plaza & Janés, Ballantine Books",896017758X,"ita, fre, eng, spa, ger, por, dut",237,"Fiction, Psychohistory, Life on other planets",4.367647,136,273,9,214
The End of Eternity,Isaac Asimov,1955,"Ballantine Books, Martínez Roca",848896692X,"tur, chi, fre, eng, spa, ger, por, ita",255,"Time travel, Fiction, Fiction in English",4.352941,17,280,11,51
The Dosadi Experiment,Frank Herbert,1977,"Tor Books, Livre de Poche",9782253113195,"eng, ger, fre",336,"American Science fiction, Fiction in English, Fiction, science fiction, general",3.8333333,6,21,2,17
Microworlds,"Stanisław Lem, Franz Rottensteiner",1984,"Harcourt Brace Jovanovich, Mandarin",0436244071,eng,295,"Science fiction, Fantasy, History and criticism",,,13,1,0
Great Science Fiction,"Isaac Asimov, Martin H. Greenberg, Charles Waugh, Gregory Benford, Robert L. Forward, Paul J. Nahin, Charles Sheffield, Kurd Laßwitz, Vernor Vinge, Fred Hoyle, Philip Latham, David Brin, Arthur C. Clarke, G. Harry Stine, J. R. Pierce, Larry Eisenberg, Jesse F. Bone, James McConnell, James Tiptree, Jr., Chad Oliver, Morton Klass, Suzette Haden Elgin, Mario Pei",1985,"Primus, D.I. Fine",9780517643495,eng,400,"Science fiction, Scientists' writings",,,12,0,1
The Norton anthology of short fiction--Seventh edition,"Richard Bausch, R. V. Cassill, Margaret Atwood, Ambrose Bierce, Jorge Luis Borges, Ray Bradbury, Антон Павлович Чехов, Kate Chopin",2006,"W. W. Norton & Company, W.W. Norton & Company",9780393926118,eng,1734,"Short stories, Fiction, History",,,17,0,1
Writing Crime Fiction (Books for Writers),H. R. F. Keating,1986,"Black, A & C Black",0312055420,eng,88,"Technique, Detective and mystery stories, Creative writing",,,5,1,1
Writing science fiction and fantasy,"Gardner R. Dozois, Isaac Asimov, James Patrick Kelly, Stanley Schmidt, Jane Yolen, Poul Anderson, Hal Clement, John Barnes, Norman Spinrad, Ian Randal Strock, Connie Willis, Robert A. Heinlein, Sheila Williams, Tina Lee",1991,"St. Martin's Griffin, St. Martin's Press",9780312060039,eng,264,"Science fiction, Authorship, Fantasy fiction",,,14,3,0
Living by Fiction,Annie Dillard,1982,"Harper Perennial, HarperCollins",9780061476723,eng,192,"Fiction, History and criticism, Literary Criticism",,,7,0,0
Dark Matter,Sheree Renée Thomas,2000,"Aspect, Warner Books",1455534153,eng,427,"Criticism, American Science fiction, Fiction",4.0,1,28,0,1
A Blink of the Screen,Terry Pratchett,2012,"Transworld Publishers Limited, Doubleday",9780552163330,"ger, pol, eng",310,"Fiction, fantasy, short stories, English Fantasy fiction, Fantasy",4.5,2,10,2,6
Discovering fiction,"Judith Kay, Rosemary Gelshenen, Kate Chopin",2001,"cambridge, Cambridge University Press",9780521703918,eng,216,"Fiction, short stories (single author), United states, social life and customs, fiction, Canada, fiction",,,7,1,0
The Queen's confession,Eleanor Burford,1876,"Samnakphim Rūamsān, Fawcett Books",000221685X,"swe, tha, fre, eng, spa",446,"Fiction, Fiction in English, Fictionin English",5.0,3,28,4,3
The art of fiction,Henry James,1884,"CreateSpace Independent Publishing Platform, Cupples, Upham",1986531449,eng,240,"History and criticism, Fiction, Criticism",,,7,1,0
"Short Fiction, Classic and Contemporary -- Second Edition","Charles H. Bohner, Alice Adams, Margaret Atwood, Ambrose Bierce, Jorge Luis Borges, Антон Павлович Чехов, Kate Chopin, Mark Twain, Roald Dahl, William Faulkner, F. Scott Fitzgerald, Gabriel García Márquez, Nathaniel Hawthorne, James Joyce, Jack London, Herman Melville, Alice Munro, Vladimir Nabokov, Edgar Allan Poe, Philip Roth, John Steinbeck, Alice Walker, Edith Wharton, Richard Wright, Shirley Jackson, Arthur Conan Doyle",1989,"Prentice Hall College Div, Prentice Hall",013809229X,eng,1180,"short stories, English literature, Collections",,,8,0,0
"Sing, Unburied, Sing",Jesmyn Ward,2017,"Simon & Schuster Audio, Scribner",1501126067,eng,304,"FICTION / African American / General, Suspense fiction, FICTION / Literary",3.7142856,7,99,5,11
Nightfall two,Isaac Asimov,1970,"Panther, Granada",0586035370,eng,192,,4.0,1,3,0,5
Olive Kitteridge,"Elizabeth Strout, Rosa Perez Perez",2007,"Austral, Brilliance Audio on MP3-CD",158836688X,"fre, pol, rus, eng",288,"Retired teachers, screen play, Fiction",4.3333335,3,52,2,9
The Time Machine,H. G. Wells,1895,"Joe Books Inc., Dent",9781774415702,"spa, eng, ita, und, por, rus, pol, tam, chi, epo, fre, ger",120,"Self-experimentation in medicine in fiction, Fiction, Time travel in fiction",4.00813,123,1415,120,239
The World of Mystery Fiction,"Elliot L. Gilbert, Elliott Gilbert, Charles Dickens, Edgar Allan Poe, Arthur Conan Doyle, Agatha Christie, Jorge Luis Borges",1978,"University Extension, University of California, San Diego, in cooperation with Publisher's Inc., University Extension, University of California, San Diego",9780879722258,eng,441,"American Horror tales, American literature, Children's fiction",,,6,0,1
Creating short fiction,Damon Knight,1981,"Writer's Digest Books, St. Martin's Griffin",0312150946,eng,212,"Authorship, Short story, Fiction",3.0,1,10,0,1
Paperbacks from Hell,Grady Hendrix,2017,"Quirk Books, Blackstone Audiobooks",9781594749810,eng,128,"History and criticism, Ghost stories, Horror tales",4.2,10,29,2,11
The best science fiction of Isaac Asimov,Isaac Asimov,1986,"Grafton, Doubleday",9780451450692,eng,320,"American Science fiction, Fiction, science fiction, general, Fiction, short stories (single author)",,,8,0,2
Selected non-fictions,Jorge Luis Borges,1999,"Viking, Penguin",9780670849475,eng,560,"Translations into English, Essays (single author), Borges, jorge luis, 1899-1986",4.0,1,7,0,2
Non-fiction books,Michael Legat,1993,"Robert Hale Ltd, Robert Hale",0709049447,eng,136,"Authorship, Bibliography",,,7,1,0
Group Textual Study of Fiction in the Primary School (Group Textual Study of Fiction in Primary & Middle Schools),"Mairi St.Clair, A.G. Hill",1996,Moray House School of Education,9780901580757,,26,"English literature: fiction texts, Fiction",5.0,2,19,6,1
Fiction and the figures of life,William H. Gass,1970,"Knopf, David R Godine",0879232544,eng,288,"History and criticism, Fiction, Literatur",,,8,1,0
Beloved,Toni Morrison,1987,"Nan hai chu ban she, Thorndike Press",9785699874958,"kor, swe, spa, eng, ita, rus, pol, tur, jpn, chi, fre, ger",330,"African American History, Ohio, History",3.8767123,73,1451,81,112
The Wanting Seed,Anthony Burgess,1962,"Penguin Books, Limited, W.W. Norton & Co.",9780434098064,"fre, eng",285,"Birth control, Fiction, Fiction in English",3.0,2,38,0,3
Radio Free Albemuth,"Philip K. Dick, Philip K. Dick",1985,"Arbor House, Mariner Books Classics",0877957622,"spa, eng, fre",256,"Politics and government, Fiction, Science fiction",3.8,5,27,4,12
All I Ever Want Is You,"Nikhil Raj, Mohit Sindhwani",2020,Independently Published,1661848532,eng,,,5.0,3,101,8,2
Waiting for an angel,Helon Habila,2002,"Actes Sud, Hamish Hamilton",9780393051933,"eng, und",228,"Fiction, Journalists, Literature",4.0,1,15,3,3
Living With the Enemy,Laura Martin (Romance fiction writer),2000,Harlequin Books,0373174209,,187,"Fiction, Romance, Contemporary",4.5,2,7,1,6
Sexual fiction,Maurice Charney,1981,"Methuen, Taylor & Francis Group",9780416319408,eng,186,"Erotic stories, History and criticism, Sex in literature",,,6,0,0
Octavia's Brood,"Walidah Imarisha, adrienne maree brown, Je Nie Fleming",2015,"Institute for Anarchist Studies, AK Press",9781849352093,eng,285,"Science fiction, Speculative fiction, Social justice",4.0,2,27,2,2
Imaginative Sex,John Norman,1974,"DAW, DAW Books",9780879979126,eng,306,"Sexual fantasies, Sex (psychology), Fiction, romance, erotic",,,10,2,0
You are not so smart,David McRaney,2011,"Li Zi Wen Hua, Gotham Books/Penguin Group",9781469000732,eng,311,"Defense mechanisms (Psychology), Reason, Perception",4.2,10,68,3,10
Fiction,,1998,Ramboro Books PLC,7215967816,,,,5.0,1,6,0,2
Sylvia,"Leonard Michaels, Michaels, Leonard",1992,"Mercury House, Daunt Books",0374271070,"fre, eng, ita",147,"New york (n.y.), fiction, Married people, fiction, Fiction, general",,,7,1,0
Alien Sex,Ellen Datlow,1990,"Roc, Grafton",9780525248637,eng,287,"American Science fiction, Sex customs, American Horror tales",5.0,1,12,0,2
Fiction River,"Fiction River, Annie Reed, Brigid Collins, Angela Penrose, Robert Jeschonek, Dayle A. Dermatis, Michael Kowal, Lisa Silverthorne",2013,"CreateSpace Independent Publishing Platform, WMG Publishing",1561460494,eng,286,"American Adventure stories, Fiction, science fiction, short stories, Fiction, fantasy, collections & anthologies",,,1,0,0
The fantasy fiction formula,Deborah Chester,2016,Manchester University Press,0719097061,eng,329,"Fantasy fiction, Authorship, Fantasy fiction, authorship",,,7,0,1
Currency trading for dummies,"Brooks, Kathleen (Writer of romance and suspense fiction)",2015,,1118989805,eng,360,"Foreign exchange, Foreign exchange futures, Foreign exchange market",,,49,7,0
Literacy World Fiction,,1998,Heinemann Educational Books - Primary Division,9780435093020,,,"English language readers, Fiction, For National Curriculum Key Stage 2",3.0,2,10,3,1
Short Fiction,R. A. Lafferty,2021,Standard Ebooks,,eng,,"Science fiction, Time -- Fiction, Short stories",,,13,0,0
Pig Tales,Marie Darrieussecq,1997,"Faber and Faber, Faber & Faber",9781565844421,eng,148,"Fiction, Metamorphosis, Sex oriented businesses",5.0,1,69,2,2
